city,date,state,text,polarity
Camp Springs,Thu Oct 22 23:00:26 +0000 2020,MD,Morning Prayers! #CCAjoy #CCAprays #ADW #CCA #morningmeeting #BibleVerses #ThoughtfulThursday #happyteacher… https://t.co/nE2XX6wVdt,0.0
Arcadia,Thu Oct 22 23:02:01 +0000 2020,CA,@AnnouncerPete @AidanButler @FrankMirahmadi @jasonblewitt30 @zoecadman @Grayson_JC https://t.co/Gxe8fxZyy2,0.0
Los Angeles,Thu Oct 22 23:02:33 +0000 2020,CA,I’m all about that blue! Let’s go Dodgers! #dodgers #losangeles #baseball #guitarist #bleedblue @ Dodger Stadium https://t.co/Ua8oBH7WTq,0.0
Orlando,Thu Oct 22 23:04:47 +0000 2020,FL,Lowe Hits not 1 but 2 HR Brandon is Back Baby #RaysMoment. ULTRAMoment via @MichelobUltra,0.0
Claremont,Thu Oct 22 23:07:11 +0000 2020,NC,@SoSofieFatale My boss always gets mine from Sam’s club. So I was stocked up &amp; able to share w my mom &amp; son. Son ca… https://t.co/egS2LKgmLb,0.5
Arlington,Thu Oct 22 23:07:23 +0000 2020,TX,"@SelenaaXO @queenayiisha Oh yeah, she was looking for someone who makes ashtrays",0.0
St Petersburg,Thu Oct 22 23:09:52 +0000 2020,FL,"@TimClearwater Fair reply. Just never became a fan of Tampa Bay sports teams. It would be great if the Rays won, bu… https://t.co/UmkXUj611B",0.75
Sugar Hill,Thu Oct 22 23:09:54 +0000 2020,GA,@_SPACEBAR https://t.co/fMlb0t3MtZ,0.0
Mount Pocono,Thu Oct 22 23:11:31 +0000 2020,PA,@ACulturedBitch https://t.co/MLBC3Oyc2h,0.0
Orlando,Thu Oct 22 23:13:10 +0000 2020,FL,Randy does nothing but rake! Loved this #RaysMoment. ULTRAMoment via @MichelobUltra,0.7
Tampa,Thu Oct 22 23:15:38 +0000 2020,FL,"An army of one. #GoRays sign in @cityoftampa @sportstalkfla @newstalkflorida @ Tampa, Florida https://t.co/3BWUVevNNb",0.0
Wareham,Thu Oct 22 23:17:29 +0000 2020,MA,@FreddieFreeman5 Congrats on @MLB_PLAYERS #PlayeroftheYear #ForTheA,0.0
Fort Worth,Thu Oct 22 23:17:29 +0000 2020,TX,"Just here to tell the world about @raysbaseball on @mlbnetwork tonight✌🏻

Hello World Series. It’s so good to meet… https://t.co/8Lf8S7BVNG",0.7
Fort Worth,Thu Oct 22 23:17:29 +0000 2020,TX,"Just here to tell the world about @raysbaseball on @mlbnetwork tonight✌🏻

Hello World Series. It’s so good to meet… https://t.co/8Lf8S7BVNG",0.7
Fort Worth,Thu Oct 22 23:17:29 +0000 2020,TX,"Just here to tell the world about @raysbaseball on @mlbnetwork tonight✌🏻

Hello World Series. It’s so good to meet… https://t.co/8Lf8S7BVNG",0.7
Goodyear,Thu Oct 22 23:17:44 +0000 2020,AZ,@Klein25 Wood should never start for Dodgers.,0.0
St Petersburg,Thu Oct 22 23:17:55 +0000 2020,FL,@HutchChad @YokedYandyMan @j_macgeever @juanctoribio Well here we are all bent and MLB is basically saying an algor… https://t.co/iSCuids409,0.0
Houston,Thu Oct 22 23:18:05 +0000 2020,TX,A year ago today I was at the World Series. Mannn things have changed 😂😩 https://t.co/ZdxMBx4brQ,0.0
Houston,Thu Oct 22 23:18:59 +0000 2020,TX,Btw the Astros are 0-4 at World Series games I’ve went to 😬,0.0
Pelham,Thu Oct 22 23:19:42 +0000 2020,NY,Tune in tonight for a special time. 830 et/530 pt. 30 minutes of world series and baseball.… https://t.co/6IKSYroX45,0.35714285714285715
Clearwater,Thu Oct 22 23:20:07 +0000 2020,FL,When you miss @RaysBaseball so much you listen to their walk-up playlist on the day off!! 😁😁 We're in the… https://t.co/Z1eIRfInz8,0.3125
Rockford,Thu Oct 22 23:20:20 +0000 2020,IL,Bout to rip it up with these chakra sprays 🧿,0.0
Paradise,Thu Oct 22 23:20:41 +0000 2020,NV,"Eagles-Giants
TNF props
World Series Game 3
Parlay to Paradise

7:30pm est/4:30pm pst. @Tyler_Fulghum’s shoes are g… https://t.co/5iwEObVPWo",-0.4
Rockford,Thu Oct 22 23:21:35 +0000 2020,IL,bout 2 rip it up with these chakra sprays 🧿🧘🏼‍♀️🌀,0.0
Arlington,Thu Oct 22 23:22:02 +0000 2020,TX,"Smoked tri tip available all weekend long! @dodgers fans, come try a taste of home! First come first serve, sold by… https://t.co/rphmZMW0Op",0.20546875
Finderne,Thu Oct 22 23:22:45 +0000 2020,NJ,"7 years ago this week, we took #TheGuyInTheTie” up to Boston for Game 1 of the 2013 @mlb #WorldSeries between the… https://t.co/8R2QcluPnD",-0.4
Port Charlotte,Thu Oct 22 23:22:55 +0000 2020,FL,Why do u think the media constantly portrays Biden as a victim?,-0.037500000000000006
San Diego,Thu Oct 22 23:23:24 +0000 2020,CA,HEY KID! #NLRookieOfTheYear #ROTY @MLB @Padres https://t.co/k5eQ6JL74o,0.0
Opa-Locka,Thu Oct 22 23:24:36 +0000 2020,FL,I would’ve be at the finals and World Series!! Fuckkkk 2020!!,0.0
Pottstown,Thu Oct 22 23:25:06 +0000 2020,PA,@Poppa_Foxx I remember this!! It’s the first World Series I ever watched!,0.3125
Boston,Thu Oct 22 23:25:39 +0000 2020,MA,@cody_merrow This is going to be a wildly painful World Series,-0.7
Salinas,Thu Oct 22 23:26:11 +0000 2020,CA,@925mlbfan ..come on down!,-0.19444444444444448
Dallas,Thu Oct 22 23:27:15 +0000 2020,TX,I've been out due to a rib injury for almost 3 weeks. No World Series tonight... I don't know what to do! Dr releas… https://t.co/LSlhalVlz4,-0.15625
Tallahassee,Thu Oct 22 23:28:16 +0000 2020,FL,Hour and a half until ratings takes the World Series slot for the evening...  📺,-0.16666666666666666
Tampa,Thu Oct 22 23:30:36 +0000 2020,FL,"@RaysBaseball #RaysUp 
Love this team!! 💙💛💙💛",0.78125
Manhattan,Thu Oct 22 23:31:30 +0000 2020,NY,Just posted a photo @ Upper West Side https://t.co/LAMlBmnqvK,0.0
El Monte,Thu Oct 22 23:33:58 +0000 2020,CA,@RogerLodge7 @TheSportsLodge @RaysBaseball @Dodgers Big Red blew it looked like a lot of Angel games,0.0
El Monte,Thu Oct 22 23:33:58 +0000 2020,CA,@RogerLodge7 @TheSportsLodge @RaysBaseball @Dodgers Big Red blew it looked like a lot of Angel games,0.0
Riverside,Thu Oct 22 23:38:20 +0000 2020,CA,Entrevista de @juliourias7 de los @Dodgers #WorldSeries2020 #dodgers #baseball #deportes #sportsbiz https://t.co/WQRGNRjqDt,0.0
Riverside,Thu Oct 22 23:41:00 +0000 2020,CA,Entrevista con @JulioUriasFans de los @Dodgers #baseball #WorldSeries2020 #dodgers #juliourías #lazador #LosAngeles… https://t.co/hv3bzqKsTq,0.0
Goshen,Thu Oct 22 23:41:14 +0000 2020,KY,A1: Jamboard can be utilized for culture and climate as well. Our awesome counselor uses it for staff “high fives”… https://t.co/aImlBFbZTm,0.58
Lakewood,Thu Oct 22 23:42:38 +0000 2020,CO,Hey @MLB ... https://t.co/LtuKY7jnZV,0.0
Pomona,Thu Oct 22 23:43:41 +0000 2020,CA,"@DrShepherd2013 And no World Series game today to watch instead. 

Sorry about your Braves. Although I’m happy abou… https://t.co/5pLS4knIRJ",-0.033333333333333326
Hoover,Thu Oct 22 23:45:13 +0000 2020,AL,@BronxBo41830825 @MLBONFOX Are u this dumb?,-0.375
Bradenton,Thu Oct 22 23:45:53 +0000 2020,FL,"My political stand. #GoNoles &amp; love and praying for the great Bobby Bowden.  
Also #RaysUp and #GoBucs https://t.co/ijLQ110qwL",0.43333333333333335
Hays,Thu Oct 22 23:50:16 +0000 2020,KS,buddy wanna be Keith Urban so bad  @Stache_MLB https://t.co/JncOMqs7A3,-0.3499999999999999
Manhattan,Thu Oct 22 23:50:26 +0000 2020,NY,"that can't eat, can't sleep, reach for the stars, over the fence, world series kinda stuff! https://t.co/2qP6bgmWNE",0.0
