word, count
biden,1
booooo,1
ernie,1
lean,1
introducing,1
premiering,1
workout,1
trays,1
seats,1
ass,1
usual,1
caminar,1
alabama,1
estadio,1
boy,1
hats,1
worst,1
eagle,1
defense,1
could,1
size,1
saturday,1
innings,1
reading,1
nah,1
disrespectful,1
live,1
l,1
lmfao,1
sporting,1
means,1
mugs,1
perfección,1
says,1
washington,1
calling,1
fersureeeeeeee,1
repetitive,1
ms,1
buy,1
crazy,1
done,1
yng,1
dog,1
derek,1
peacefully,1
w,1
performance,1
dogs,1
jackie,1
mom,1
rally,1
hollywood,1
sharing,1
smashed,1
ninja,1
left,1
dc,1
work,1
payroll,1
instead,1
pisses,1
globe,1
legendary,1
completed,1
starting,1
fucking,1
hits,1
put,1
dub,1
command,1
played,1
activated,1
giants,1
covid,1
cupcakes,1
playoff,1
volvamos,1
bull,1
made,1
florida,1
oil,1
urias,1
key,1
history,1
physically,1
pen,1
bowl,1
adversaries,1
lately,1
vamos,1
room,1
low,1
sports,1
either,1
smoke,1
unless,1
later,1
phoenix,1
obama,1
pattern,1
jeffrey,1
cause,1
ball,1
narrates,1
sexy,1
facebook,1
bill,1
ice,1
struggling,1
bubbles,1
mind,1
bro,1
sol,1
save,1
ortiz,1
park,1
business,1
considered,1
short,1
tb,1
place,1
working,1
knows,1
justin,1
gotta,1
talking,1
option,1
fruits,1
arizona,1
ugly,1
least,1
care,1
hesperia,1
makes,1
announced,1
br,1
run,1
five,1
wendy,1
cheap,1
r,1
took,1
real,1
october,1
yep,1
crapload,1
leaned,1
tops,1
ddgers,1
sho,1
qb,1
forever,1
fighting,1
hora,1
wack,1
package,1
comer,1
ga,1
progreso,1
planet,1
comes,1
summer,1
hot,1
cy,1
find,1
pero,1
nibbles,1
goooooo,1
wht,1
excited,1
ful,1
sorry,1
beltran,1
behind,1
rolling,1
mirrors,1
uniforms,1
landed,1
trying,1
aparic,1
dump,1
championship,1
reminds,1
always,1
thought,1
guess,1
per,1
sweet,1
third,1
number,1
freshman,1
birthday,1
stores,1
givin,1
grayson,1
clubhouse,1
skater,1
fyi,1
prospering,1
seat,1
mafia,1
sounds,1
road,1
lasorda,1
bias,1
till,1
mundial,1
present,1
legs,1
row,1
wnba,1
twins,1
top,1
lfg,1
hands,1
juego,1
cucamonga,1
robinson,1
committee,1
mound,1
squads,1
teams,1
super,1
mexico,1
try,1
elliot,1
amazing,1
dominic,1
guy,1
ted,1
elliott,1
ho,1
organization,1
job,1
blm,1
hey,1
wings,1
impactful,1
found,1
money,1
reason,1
toobin,1
baby,1
bayard,1
leaves,1
fucken,1
talks,1
seasonal,1
va,1
citywalk,1
smile,1
happens,1
attempt,1
sleeper,1
note,1
hour,1
esta,1
blake,1
lie,1
chiefs,1
nobody,1
jus,1
ad,1
dave,1
rbis,1
tornow,1
towards,1
using,1
criticized,1
ver,1
though,1
hopefully,1
feed,1
moved,1
ill,1
eyes,1
miracle,1
wubble,1
choice,1
ranked,1
bottoms,1
carlos,1
root,1
episode,1
sure,1
pretty,1
gente,1
chip,1
serie,1
stupid,1
days,1
carolina,1
yank,1
roberts,1
something,1
store,1
life,1
digan,1
deck,1
anxious,1
ranks,1
jeter,1
lineup,1
explain,1
stated,1
called,1
coastal,1
mood,1
trades,1
checking,1
fitness,1
exactly,1
move,1
walk,1
eagles,1
ready,1
strikes,1
luego,1
lmaoo,1
weak,1
yaaas,1
two,1
boys,1
eating,1
young,1
ugh,1
espiritual,1
meat,1
heads,1
locally,1
tony,1
voy,1
prize,1
banner,1
cfm,1
seattles,1
turner,1
music,1
julio,1
ml,1
party,1
favors,1
yards,1
choi,1
david,1
atmosphere,1
af,1
wrays,1
america,1
stinson,1
understand,1
giuliani,1
sold,1
sit,1
app,1
obviously,1
victory,1
bringing,1
recorded,1
rookie,1
talented,1
pregame,1
champion,1
veggies,1
clinch,1
veeks,1
airing,1
superbowl,1
saw,1
clearly,1
cheering,1
abs,1
ever,1
classic,1
views,1
watches,1
anybody,1
easy,1
rainy,1
byu,1
second,1
tiny,1
slim,1
z,1
tonite,1
rancho,1
wow,1
player,1
football,1
cardinal,1
according,1
nd,1
piss,1
listos,1
espacio,1
bud,1
mon,2
v,2
went,2
hat,2
better,2
awesome,2
cool,2
el,2
playing,2
hahah,2
abilene,2
must,2
ratings,2
experts,2
cash,2
mo,2
ride,2
rest,2
may,2
tickets,2
answer,2
coming,2
sick,2
loved,2
seeing,2
expects,2
watchin,2
ha,2
randy,2
swing,2
yo,2
imagine,2
easily,2
un,2
likable,2
damn,2
different,2
rake,2
probably,2
early,2
york,2
ki,2
deplete,2
para,2
bet,2
wins,2
lame,2
great,2
twitch,2
sort,2
sam,2
also,2
beast,2
fans,2
masked,2
looks,2
spirit,2
multicultural,2
square,2
necessarily,2
matt,2
kicking,2
astros,2
thanks,2
said,2
omg,2
campaign,2
ufc,2
signature,2
phillies,2
rudy,2
class,2
fam,2
dudes,2
twitter,2
tell,2
enough,2
sharp,2
today,2
lot,2
día,2
nothing,2
feel,2
pulling,2
arlington,2
memorable,2
pick,2
cubs,2
grays,2
le,2
knock,2
image,2
singer,2
sweep,2
anyone,2
favorite,2
otherwise,2
us,2
feeling,2
lmao,2
buscamos,2
guys,2
los,2
nationally,2
vibes,2
ya,2
please,2
c,2
arozarena,2
appreciate,2
poor,2
fact,2
lakers,2
thank,2
man,3
weird,3
right,3
im,3
taking,3
home,3
unreal,3
tie,3
yes,3
baseball,3
finals,3
believe,3
u,3
day,3
mookie,3
show,3
betts,3
good,3
fox,3
back,3
want,3
thing,3
camden,3
busbys,3
west,3
watch,3
close,3
still,3
getting,3
texas,3
everyone,3
lol,3
de,3
nba,3
pm,3
en,3
red,3
one,3
pitching,3
play,3
talk,3
inning,3
homer,3
join,4
la,4
question,4
would,4
bullpen,4
snell,4
bay,4
watching,4
gonsolin,4
vs,4
dodger,4
best,4
sox,4
year,4
jersey,4
photo,5
score,5
need,5
ws,5
ultramoment,5
see,5
many,5
people,5
rooting,5
first,5
via,5
lets,5
even,5
know,6
team,6
got,6
winning,6
new,7
tampa,7
love,8
mlb,8
time,8
going,9
look,9
get,9
fan,9
runs,9
commanding,9
think,10
take,12
lead,12
win,13
like,13
let,18
tonight,23
go,25
game,31
world,51
series,57
rays,62
dodgers,89
