city,date,state,text,polarity
Chicago,Thu Nov 26 23:00:00 +0000 2020,IL,"Tema, Chan Chan: “por qué celébranos Thanksgiving”. Yo no tenía de aquella mucha idea más allá de las boludeces de… https://t.co/p4mPGpxhqV",0.0
Lake Worth,Thu Nov 26 23:00:02 +0000 2020,TX,#Carpool #LakeWorth -&gt; #Essex #EssexVillage I need to see a relative in hospice and cant afford to travel. I lost e… https://t.co/f8RnTpbHGS,0.0
Riverton,Thu Nov 26 23:00:04 +0000 2020,UT,@sunlitgold1968 Happy Thanksgiving brother,0.8
San Antonio,Thu Nov 26 23:00:05 +0000 2020,TX,THANKFUL. GRATEFUL. BLESSED. ✨💚🙏🏼🤗 Happy Thanksgiving from my family to yours! 🦃 Gobble till you wobble! 🤪 https://t.co/tvdFfnaK6A,1.0
Philadelphia,Thu Nov 26 23:00:06 +0000 2020,PA,Idk why but people dropping thanksgiving food is so funny to me 😭😭😭 cause why you pick this day to be clumsy,-0.024999999999999994
St Louis,Thu Nov 26 23:00:08 +0000 2020,MO,"For years, they called me crazy for still having all my Boy Scout pocket knives, until the Thanksgiving of the broken corkscrew",-0.5
Las Vegas,Thu Nov 26 23:00:08 +0000 2020,NV,"BEFORE &amp; AFTER. 😉🤷🏽‍♂️

• RULE #1 MIX EVERYTHING.‼️😋

#HappyThanksgiving @ Happy Thanksgiving https://t.co/Lt8U9iJkNH",0.8
Arlington,Thu Nov 26 23:00:09 +0000 2020,TX,@TXgingerale My two faves: cherry pie and chocolate silk. Red velvet is best but never served at Thanksgiving.,0.5
Weston,Thu Nov 26 23:00:10 +0000 2020,FL,"#happythanksgivng #thanksgiving en Weston, Florida https://t.co/r15rUBjcur",0.0
San Antonio,Thu Nov 26 23:00:10 +0000 2020,TX,"Happy Thanksgiving! So grateful for this time of year, this country and the time to reflect on what we are thankful… https://t.co/J6UdA3nxIm",1.0
Newport Beach,Thu Nov 26 23:00:10 +0000 2020,CA,"Thankful for an empty range and a wife who doesn’t saddle me with Thanksgiving chores ⛳️🙏 @ Newport Beach, Californ… https://t.co/o3uXW3qikH",-0.1
Maplewood,Thu Nov 26 23:00:10 +0000 2020,MN,What a fantastic thanksgiving dinner.  Thank you @BirchwoodCafe be safe hope you and the birchwood family have a gr… https://t.co/R8M4vI2uk0,0.45
Visalia,Thu Nov 26 23:00:11 +0000 2020,CA,Ham over turkey every thanksgiving!!,0.0
Chicago,Thu Nov 26 23:00:12 +0000 2020,IL,"happt thanksgiving to everyone who celebrates, thankful for all of you !! make sure you have a great day today!! love you guys &lt;3",0.6666666666666666
Austin,Thu Nov 26 23:00:13 +0000 2020,TX,"Turkeys, babies and puppies. Oh my! Happy Thanksgiving 🦃❤️ @ Austin, Texas https://t.co/4vlTFZZLbN",0.8
Manhattan,Thu Nov 26 23:00:14 +0000 2020,NY,"I may be home alone on Thanksgiving (recuperating), but I decided it wouldn’t stop me from a proper Thanksgiving di… https://t.co/UnDJXhdN7V",0.0
Tonawanda,Thu Nov 26 23:00:14 +0000 2020,NY,Happy Thanksgiving https://t.co/5qJzt29vB1,0.8
Newton Falls,Thu Nov 26 23:00:15 +0000 2020,OH,@msmariapreda Happy Thanksgiving Maria!! Hope you had a blessed day!!! 😘❤️🦃,1.0
Selma,Thu Nov 26 23:00:16 +0000 2020,TX,Of course girl! The turkey looked sooo bomb! I’m glad y’all enjoyed!😋Happy thanksgiving to you ❤️♥️❤️,0.5
Chattanooga,Thu Nov 26 23:00:16 +0000 2020,TN,Hope everyone had a Happy Thanksgiving! Feeling Blessed! 🧡🤎 https://t.co/2Fwb28AU7t,1.0
Compton,Thu Nov 26 23:00:17 +0000 2020,CA,Happy Thanksgiving Part 1 https://t.co/B1Jdv5qWwv,0.8
Seattle,Thu Nov 26 23:00:18 +0000 2020,WA,"Happy Thanksgiving everyone! @ Seattle, Washington https://t.co/BchIFEWevP",1.0
De Soto,Thu Nov 26 23:00:18 +0000 2020,MO,What's getting through the worst thanksgiving of my life. This kid loves me https://t.co/YCuPOip2qK,-1.0
Portland,Thu Nov 26 23:00:20 +0000 2020,OR,Happy thanksgiving 🦃❤️ @taylorswift13 @taylornation13  I love you Taylor Swift I hope see you in concert next year ❤️,0.43333333333333335
Layton,Thu Nov 26 23:00:23 +0000 2020,UT,Happy Thanksgiving people https://t.co/2plDoUvX6o,0.8
Union,Thu Nov 26 23:00:25 +0000 2020,NJ,"Give thanks, always. #Thanksgiving2020 https://t.co/9xucCxoows",0.2
Norwalk,Thu Nov 26 23:00:27 +0000 2020,CT,Live action #NFLThanksgiving,0.11818181818181818
Ferry Pass,Thu Nov 26 23:00:30 +0000 2020,FL,to my friends on this app. happy thanksgiving and i love you all💗 ya know who ya are.,0.65
Los Angeles,Thu Nov 26 23:00:31 +0000 2020,CA,I’d like to take this moment to thank Twitter for ruining the wholesomeness of mac n cheese for me and countless others. #Thanksgiving,0.0
Anchorage,Thu Nov 26 23:00:32 +0000 2020,AK,"Ugh, pass the tissues
Happy Thanksgiving, hope everyone stays safe, love to all",0.6
New Albany,Thu Nov 26 23:00:36 +0000 2020,MS,Happy Thanksgiving everyone! Hopefully you used this day to be thankful &amp; express gratitude for all the great thing… https://t.co/WHdPXPt1fy,0.9
Carlsbad,Thu Nov 26 23:00:36 +0000 2020,CA,Bird is on. Took the dudes for a first round bike ride/basketball game. ##HappyThanksgiving about to head out for r… https://t.co/rPFCqrEFdH,-0.11666666666666668
Birmingham,Thu Nov 26 23:00:36 +0000 2020,AL,seeing thanksgiving food touch on a plate make me cringe hard af 🥴,-0.2916666666666667
Chicago,Thu Nov 26 23:00:37 +0000 2020,IL,Thanksgiving did not become a national holiday until 1941. Lincoln first recognized it decades before. We need to e… https://t.co/W5b9K0fM8d,0.25
Big Bear Lake,Thu Nov 26 23:00:38 +0000 2020,CA,@ironytheloreaxe What do you mean 👹 happy thanksgiving,0.24375000000000002
Beaverton,Thu Nov 26 23:00:38 +0000 2020,OR,The plate for that one relative who’s food can’t touch #Thanksgiving2020 #Thanksgiving https://t.co/JKoRYmnsdV,0.0
Oxnard,Thu Nov 26 23:00:41 +0000 2020,CA,Happy thanksgiving family 🤞🏽,0.8
Miami,Thu Nov 26 23:00:41 +0000 2020,FL,Mi tercer thanksgiving aquí 🍾,0.0
Palm Springs,Thu Nov 26 23:00:43 +0000 2020,CA,"Subversive - Sunday sauce, (misshapen) meatballs and sausage for Thanksgiving because #2020 https://t.co/VV4UiEza7g",0.0
Mansfield,Thu Nov 26 23:00:43 +0000 2020,TX,"🦃🍂🍁🧡
#happythanksgiving #thanksgiving #thankful #grateful #MOSAICRealty #mansfield #mansfieldrealestate… https://t.co/DdBym07I6B",0.0
Chicago,Thu Nov 26 23:00:45 +0000 2020,IL,"happy thanksgiving to everyone who celebrates, thankful for all of you !! make sure you have a great day today!! love you guys &lt;3",0.75
Chicago,Thu Nov 26 23:00:46 +0000 2020,IL,"#Thanksgiving 
#Thanksgiving2020
#family https://t.co/YCH74tVhEs",0.0
Raymondville,Thu Nov 26 23:00:47 +0000 2020,TX,Happy thanksgiving 🍁 more pics to come ❤️🦃 https://t.co/2MAHVtnl8f,0.65
Newark,Thu Nov 26 23:00:48 +0000 2020,NJ,Happy Thanksgiving from our family to yours💕,0.8
Tampa,Thu Nov 26 23:00:48 +0000 2020,FL,Enjoying the end to a hectic Thanksgiving Day with a glass of wine and  fire pit next to the water! Thankful for al… https://t.co/PqIeRzcNGV,0.25
Concord,Thu Nov 26 23:00:48 +0000 2020,NC,I’m thankful for managing to snag a turkey leg! #HappyThanksgiving🦃 https://t.co/oQOsvYHqJQ,0.0
Hampstead,Thu Nov 26 23:00:49 +0000 2020,MD,"I am a UNC fan, but would still invite over these 3 Duke players for Thanksgiving Dinner!
@KyrieIrving… https://t.co/K2l6t8EbmE",0.0
Norwalk,Thu Nov 26 23:00:49 +0000 2020,CT,Washington-200 live #NFLThanksgiving,0.13636363636363635
Cincinnati,Thu Nov 26 23:00:49 +0000 2020,OH,Happy Thanksgiving. :),0.65
Asbury Lake,Thu Nov 26 23:00:49 +0000 2020,FL,"@camillelblue the TALENT! i could never... not without a back brace 😭😂 

happy thanksgiving, you represented the So… https://t.co/FMV2CepXXy",0.4
Perris,Thu Nov 26 23:00:49 +0000 2020,CA,happy thanksgiving y’all 🤍,0.8
Vandenberg Air Force Base,Thu Nov 26 23:00:50 +0000 2020,CA,watching all my east coast friends and family post pics of their thanksgiving dinner while I sit here hungry becaus… https://t.co/fZirABEoxt,0.0
Salinas,Thu Nov 26 23:00:50 +0000 2020,CA,@__BriaChantel Happy Thanksgiving friend Love you 🦃🍁😘,0.65
Carney,Thu Nov 26 23:00:53 +0000 2020,MD,"happy freaking thanksgiving homies!! i’m thankful for my fam, my great friends, this fat juicy ass, oh &amp; the holida… https://t.co/AnP3yrzEH5",0.9
Dublin,Thu Nov 26 23:00:53 +0000 2020,CA,i finished most of my work because i’m going home for thanksgiving so i can relax but it feels wrong to relax... li… https://t.co/o846ZUUyo8,0.0
Sacramento,Thu Nov 26 23:00:54 +0000 2020,CA,The TL every thanksgiving when Draya post her meals...... https://t.co/2tGweCys26,0.0
Las Vegas,Thu Nov 26 23:00:54 +0000 2020,NV,"Happy Thanksgiving!!!  #thankful
#HappyThanksgiving #family #friends #food
#Spectacle #eyecare #eyewear… https://t.co/z7ng7JU6Zw",1.0
Greenacres,Thu Nov 26 23:00:59 +0000 2020,FL,"""You cut the turkey without me!!""

(""Avalon"")

Happy Thanksgiving to all. https://t.co/2L8I5A9JXv",0.8
Coon Rapids,Thu Nov 26 23:00:59 +0000 2020,MN,"Happy Thanksgiving!

Dickhead",1.0
Framingham,Thu Nov 26 23:01:00 +0000 2020,MA,Watched “Holiday Inn” #PBSonBroadway today after Thanksgiving dinner with my partner.   So enjoyable.,0.5
Gilbert,Thu Nov 26 23:01:01 +0000 2020,AZ,Thanksgiving with just my immediate main Bucks. It was nice not to have to smile and hide the eye twitch when well-… https://t.co/qKV6dbLhTI,0.35555555555555557
Hayward,Thu Nov 26 23:01:02 +0000 2020,CA,Happy Thanksgiving 🦃🤎 https://t.co/NDMeWBl14x,0.8
Los Angeles,Thu Nov 26 23:01:04 +0000 2020,CA,worst mistake to get all four wisdom teeth pulled before thanksgiving,-1.0
Preston,Thu Nov 26 23:01:04 +0000 2020,ID,@CoachWhiteISU Happy Thanksgiving Coach!,1.0
Cumberland,Thu Nov 26 23:01:05 +0000 2020,RI,When your trying time enjoy thanksgiving n then everyone starts talking about covid this covid that sooo annoying,-0.2
Castaic,Thu Nov 26 23:01:05 +0000 2020,CA,wait people outside of america celebrate thanksgiving?? how??,0.0
Big Bear Lake,Thu Nov 26 23:01:07 +0000 2020,CA,Happy Thanksgiving #HappyThanksgiving2020 #BeThankful #BetterTogether https://t.co/HntuNa0IMV,0.8
