city,date,state,text
South Gate,Sun Nov 29 23:00:37 +0000 2020,MD,"@xaichai No, but she'd like a dog. As a traveling priest, though, it's kinda hard to do. Either she leaves it home… https://t.co/McSvLY2viu"
Gonzales,Sun Nov 29 23:00:43 +0000 2020,LA,My Colorado trip is in February and i haven’t started planning at all
Aledo,Sun Nov 29 23:01:05 +0000 2020,TX,I’m putting this on the wish list for the triplets https://t.co/TWs3v0C5gC
Manchester,Sun Nov 29 23:01:07 +0000 2020,NH,@MartinaMarkota *books flight*
Sacramento,Sun Nov 29 23:01:25 +0000 2020,CA,The fact that people out here selling 45 lbs plates for damn near triple the price is fucking annoying😤
Hampton,Sun Nov 29 23:01:55 +0000 2020,VA,crazy cause this week has been one of my favorite trips home &amp; today was just so bad.
Dallas,Sun Nov 29 23:02:11 +0000 2020,TX,@elonmusk @MarcusHouseGame @bcart03 @nextspaceflight @NASASpaceflight Why would the Lunar Starshlp’s legs need shielding?
Elsa,Sun Nov 29 23:02:51 +0000 2020,TX,And it's a trip because you never hesr anybody whi got amnesty talking shit. They're just thankful.  It's always th… https://t.co/nfRiaZsBJZ
Charlotte,Sun Nov 29 23:03:14 +0000 2020,NC,Should travel in September 2021 be a thing... where should I go for my 10th wedding anniversary?
Pittsburgh,Sun Nov 29 23:03:36 +0000 2020,PA,@russ_walker Those sunset flights are a sight to behold.
Wilkes-Barre,Sun Nov 29 23:03:40 +0000 2020,PA,Third dog - Drinking a Super Duper Triple Citra by @hookerbeer at @daven3pbv  — https://t.co/1vHyfHy1Pn
Mishawaka,Sun Nov 29 23:03:51 +0000 2020,IN,I just want 1 person to travel with for my birthday how hard is that to ask 😭
Atlanta,Sun Nov 29 23:03:52 +0000 2020,GA,@Euphraxio Straight up trippin 😂
Denver,Sun Nov 29 23:04:07 +0000 2020,CO,@sofain @trippypoop @adrian_chrome I think he just wants you to keep paying attention to him. If he has two Twitter… https://t.co/arwsxKCekK
Baltimore,Sun Nov 29 23:04:14 +0000 2020,MD,"NY Strip Roast &amp; Delicata Squash @ Baltimore, Maryland https://t.co/GcVHjTMfgg"
Houston,Sun Nov 29 23:04:22 +0000 2020,TX,Y hire stunt doubles on pvalley ? And not real strippers lol
Kansas City,Sun Nov 29 23:04:23 +0000 2020,MO,@NickStarlingTV @41actionnews How do you feel traveling by plane? Unsafe? Fine? Let me know
New Orleans,Sun Nov 29 23:04:30 +0000 2020,LA,@Kyron2x_ No he tripping fr😂
Charlotte,Sun Nov 29 23:04:31 +0000 2020,NC,I seen this at 18 years old at my very first strip club &amp; it changed my life forever. Nothing was the same. 🤯🤣
Belleville,Sun Nov 29 23:04:48 +0000 2020,IL,@AndBrazen The Boy In The stripped Pajamas
Memphis,Sun Nov 29 23:05:19 +0000 2020,TN,"If jobs with titles like ""Travel Dialysis Registered Nurse Acute RN- Memphis TN"" sound appealing to you, follow us… https://t.co/CwlkOWMI9E"
Kansas City,Sun Nov 29 23:05:31 +0000 2020,MO,We’ve reached the sad part of my trip. Mom: how did the week go by so quickly?! ❤️😭😭😭
Claremont,Sun Nov 29 23:05:33 +0000 2020,CA,"Maybe all that east coast travel finally caught up with the #LARams 
#NFL"
Houston,Sun Nov 29 23:05:40 +0000 2020,TX,Anybody down for a Colorado trip?
Long Beach,Sun Nov 29 23:05:57 +0000 2020,CA,"Now offering French red flights to go. 1/2 glass each of Bourgogne, Pays D’Oc, and Costieres de Nimes. pairs great… https://t.co/U8YRX1KgxU"
