city,date,state,text,polarity
Mandeville,Tue Nov 24 23:00:11 +0000 2020,LA,@DavidMora @MargaretOrr @KweilynWDSU @NWSNewOrleans @VisitNewOrleans @LouisianaTravel @BrookeLaizer_Wx @ScotPilie_Wx That’s a bit wonderful,1.0
Tempe,Tue Nov 24 23:00:16 +0000 2020,AZ,@yaboiryry where dat Thanksgiving invite though? 🥐🌵,0.0
Brooklyn,Tue Nov 24 23:00:17 +0000 2020,NY,Uncle just texted family group chat and said thanksgiving might be canceled since a coworker tested positive for co… https://t.co/qNrfqvHaV9,0.22727272727272727
Moorestown,Tue Nov 24 23:00:21 +0000 2020,NJ,Perkins Center is closed on Thursday and Friday for the Thanksgiving holiday! Our Collingswood Gallery remains clos… https://t.co/2gOd2D8jcw,-0.1125
Warner Robins,Tue Nov 24 23:00:32 +0000 2020,GA,@theestallion $KeyyyTripp. #GOODNEWSMEGAN,0.0
Brooklyn,Tue Nov 24 23:00:31 +0000 2020,NY,Thanksgiving kisses. https://t.co/qriDk90dXU,0.0
Lake Butler,Tue Nov 24 23:00:38 +0000 2020,FL,@DonnieWahlberg Safe travels,0.5
San Francisco,Tue Nov 24 23:00:40 +0000 2020,CA,"If you’re planning to gather with people outside your household this Thanksgiving, please read this thread first ⬇️",0.125
Seattle,Tue Nov 24 23:00:41 +0000 2020,WA,"All this domestic got me bored. I’m going back foreign. ✌🏽🙇🏽‍♂️✈️🚀👽 
Where should I travel next ?! 🧐🤔👀👀 #travel… https://t.co/6Tr7QI6qPv",-0.125
Bozeman,Tue Nov 24 23:00:50 +0000 2020,MT,Gonna be working longer today and then gonna finish shopping for Thanksgiving. Been taking some time to referent wi… https://t.co/kf8c4bv930,0.0
Killeen,Tue Nov 24 23:00:51 +0000 2020,TX,Not my sister in law buying us temales from delias for thanksgiving 😩😩😩💞! Talk about the besttttt😁,0.0
Charlotte,Tue Nov 24 23:00:53 +0000 2020,NC,@IcelandNatural Iceland is starting to be at the top of my list when travel is opened up again.,0.25
Chicago,Tue Nov 24 23:00:53 +0000 2020,IL,@michaelyarde Same anxiety I’m feeling about what’s going to happen after thanksgiving this week 😳,0.0
Coram,Tue Nov 24 23:01:00 +0000 2020,NY,@DonnieWahlberg What is ur fave food to have or make for thanksgiving #DWAir20Questions,0.0
Manhattan,Tue Nov 24 23:01:04 +0000 2020,NY,"Check out what awesome dessert I choose fir my #Thanksgiving table!!!

https://t.co/0OxHCfXS7S @themanualguide",1.0
Lake Oswego,Tue Nov 24 23:01:11 +0000 2020,OR,What are you smoking on thanksgiving? Besides a turkey? #broadwaycigarco #lakeoswego #cigars #celebrate #freedom#en… https://t.co/13Sl9rn1Hm,0.0
Hercules,Tue Nov 24 23:01:14 +0000 2020,CA,@caateyyy bitch lemme come get a plate on thanksgiving 🤣,0.0
Dallas,Tue Nov 24 23:01:20 +0000 2020,TX,Who all got a special one dey inviting over w da fam on thanksgiving?,0.35714285714285715
Phoenix,Tue Nov 24 23:01:53 +0000 2020,AZ,Shallowing the shaft?  Try this out while you eat some Turkey and pumpkin pie!  #Thanksgiving #thankspgapro https://t.co/0v9AWXxTo8,0.0
Westerville,Tue Nov 24 23:01:53 +0000 2020,OH,@DonnieWahlberg Are you having any virtual gatherings for Thanksgiving?,0.0
San Francisco,Tue Nov 24 23:01:59 +0000 2020,CA,"If you’re planning to gather with people outside your household this Thanksgiving, please read this thread first ⬇️",0.125
East Hampton,Tue Nov 24 23:02:19 +0000 2020,NY,@BostonRob Happy thanksgiving,0.8
Seattle,Tue Nov 24 23:02:23 +0000 2020,WA,This is hard but necessary #CovidThanksgiving,-0.14583333333333334
Eastmont,Tue Nov 24 23:02:24 +0000 2020,WA,"@KennedyNation No, our adult children are traveling to us. Just like normal.",0.125
Fontana,Tue Nov 24 23:02:33 +0000 2020,CA,"His home for Thanksgiving @ Fontana, California https://t.co/3Wc5TF9AXO",0.0
Queens,Tue Nov 24 23:02:35 +0000 2020,NY,Here to say i look good with or without makeup. I ain’t trippin,0.7
Palm Beach Gardens,Tue Nov 24 23:02:43 +0000 2020,FL,Why I am Thankful. Happy Thanksgiving! @ PGA National https://t.co/2KrzIM6r1z,1.0
Philadelphia,Tue Nov 24 23:02:43 +0000 2020,PA,Give me those recipes. I've only cooked a full Thanksgiving dinner once in my life. This year cooking for my househ… https://t.co/2WfG9IIR47,0.175
Normal,Tue Nov 24 23:02:43 +0000 2020,IL,I love it all...but my fave is stuffing + gravy 🤤 What is your guys fave Thanksgiving food?? Drop your faves below!… https://t.co/sufeHvt4fs,0.5
Norman,Tue Nov 24 23:02:50 +0000 2020,OK,"this is a poem for my roommate when she gets back from her gay little trip: 

i am sorry for
buying the 2-ply TP 
it was all they had",-0.06770833333333333
Watauga,Tue Nov 24 23:02:54 +0000 2020,TX,My family after I said we should probably abstain from thanksgiving bc of my grandparents 😅 https://t.co/TrJQNKudnZ,0.0
Alexandria,Tue Nov 24 23:03:00 +0000 2020,VA,"Great #italianamerican #thanksgiving week lunch: #escaroleandbeans, except Julin wants to turn it into #ramen @ Ale… https://t.co/f79pOioAUT",0.5
Mocksville,Tue Nov 24 23:03:21 +0000 2020,NC,"Made my first trip out to @daviecountyhs tonight for #CPC 4A volleyball. #HSOT 🏐

6:15 PM = East Forsyth /… https://t.co/bu1Lcyzg5S",0.25
Owentown,Tue Nov 24 23:03:27 +0000 2020,TX,I could see Kyle and Summer being married this time next year and hosting Thanksgiving in their house that Nick gav… https://t.co/DTjVhti6WT,0.125
Mocksville,Tue Nov 24 23:03:39 +0000 2020,NC,"Made my first trip out to @daviecountyhs tonight for #CPC 4A volleyball. #HSOT 🏐

6:15 PM = East Forsyth /… https://t.co/spiCCCaL0t",0.25
Knoxville,Tue Nov 24 23:03:40 +0000 2020,TN,Wishing you a safe and Happy Thanksgiving! 🙏🏼,0.75
Montgomery,Tue Nov 24 23:03:41 +0000 2020,NJ,#grateful this Thanksgiving!,0.0
Big Flats,Tue Nov 24 23:04:01 +0000 2020,NY,"This Thanksgiving, let’s give thanks to essential workers- like the employees of @UnitexTextile. These laundry work… https://t.co/1iU2XR8wJP",0.1
Detroit,Tue Nov 24 23:04:18 +0000 2020,MI,About to do my Thanksgiving shoppin!,0.0
Penn Estates,Tue Nov 24 23:04:20 +0000 2020,PA,@NicoleJButler “Uncle Rental” for Thanksgiving on the @jimmykimmel Show. Funny! #Thanksgiving #Thanksgiving2020 🦃… https://t.co/38uORXGmTi,0.3125
Los Angeles,Tue Nov 24 23:04:38 +0000 2020,CA,I think I’m ready for a Triple D tatt and a neck tatt... https://t.co/76X5qxnjVd,0.2
Nashville,Tue Nov 24 23:04:44 +0000 2020,TN,For my PA folks. Better get your drinks by 5 tommorow!  #Thanksgiving #TomWolf,0.625
Winston-Salem,Tue Nov 24 23:04:46 +0000 2020,NC,"My son getting fresh for thanksgiving, too bad no ones coming over lol",0.1333333333333334
West Allis,Tue Nov 24 23:04:46 +0000 2020,WI,@TanHagerstrom @mrichards724 Turkey is the most overrated thing at thanksgiving,0.5
Fremont,Tue Nov 24 23:04:49 +0000 2020,CA,I’m really looking forward to my fam’s intimate thanksgiving❤️. Since we’re still practicing social distancing it’s… https://t.co/RKSc6tQZrE,0.14444444444444446
Chicago,Tue Nov 24 23:04:52 +0000 2020,IL,"We’re going virtual for our #Thanksgiving2020, but I’ll still be cooking up all the good stuff! 😋

Protect your lov… https://t.co/rinQAIzhd4",0.875
Town 'n' Country,Tue Nov 24 23:04:54 +0000 2020,FL,Happy Thanksgiving from everyone at @sarasotaopera,0.8
Boston,Tue Nov 24 23:05:05 +0000 2020,MA,"Will miss moments like this on Thursday.

There won’t be any Thanksgiving Day high school football games across the… https://t.co/2ofFiivrwv",0.16
Manhattan,Tue Nov 24 23:05:05 +0000 2020,NY,#shhhhh #davidbowie 💙 #wigs #nyc #urbanwoman #globetrotter #worldtraveler #fashionista #NYC #UWS @ Upper West Side https://t.co/Iladlx7O0X,0.0
Frederick,Tue Nov 24 23:05:12 +0000 2020,MD,"#Thanksgiving #jokeoftheday: What happens when someone sits on the sweet potatoes?
It becomes a squash casserole.",0.35
Raleigh,Tue Nov 24 23:05:14 +0000 2020,NC,RES families...you have mail 📩! Have a happy Thanksgiving and we will see you next week! Stay safe and healthy… https://t.co/mG6BMtDzps,0.43333333333333335
Atlanta,Tue Nov 24 23:05:14 +0000 2020,GA,Free Turkeys.... #HappyThanksgiving #HappyHolidays #FreeTurkeys https://t.co/gwczZAdiqD,0.4
Jollyville,Tue Nov 24 23:05:30 +0000 2020,TX,when you barely even have family thanksgiving really do not be a feel-good holiday at all. all of 2 people at the function... I hate it,-0.2833333333333334
Tempe,Tue Nov 24 23:05:44 +0000 2020,AZ,2 of my 3 favorite people have Covid right before thanksgiving and i HATE IT HERE.,-0.004761904761904782
Raleigh,Tue Nov 24 23:05:52 +0000 2020,NC,"I’ve been at work every day this year so I can’t wait for Thanksgiving, just scored two racks of ribs and a pork shoulder",0.0
Plano,Tue Nov 24 23:05:59 +0000 2020,TX,"Bless the Lord, O my soul. #thanksgivingweek https://t.co/B9Ua6pB3Nd",0.0
Alpharetta,Tue Nov 24 23:06:04 +0000 2020,GA,"Reminder for Wednesday drill times at Roswell Area Park during Thanksgiving Week:

US Open: 12:00-2:00
Wimbledon: 2… https://t.co/uMYagsLvHW",0.0
Houston,Tue Nov 24 23:06:28 +0000 2020,TX,Don't experiment on Thanksgiving!!!😂🤣🤣,0.0
Fremont,Tue Nov 24 23:06:30 +0000 2020,CA,I’m really looking forward to my fam’s intimate thanksgiving❤️. Since we’re still practicing social distancing it’s… https://t.co/gHOapgsSqZ,0.14444444444444446
Winston-Salem,Tue Nov 24 23:06:35 +0000 2020,NC,"Ima be alone on Thanksgiving I’m so sad, 😕🖕🏽corona",-0.5
Youngstown,Tue Nov 24 23:06:35 +0000 2020,PA,Just remember this includes cargo flights for all those packages you’ve been buying online and also general aviatio… https://t.co/XZPenHiCaG,0.05000000000000002
Thousand Oaks,Tue Nov 24 23:06:37 +0000 2020,CA,@Wendys_Garden No shit.  The biggest reason to be thankful for this thanksgiving.,0.1
West Hollywood,Tue Nov 24 23:06:41 +0000 2020,CA,"So people are just straight up traveling, huh.",0.2
McKinney,Tue Nov 24 23:06:47 +0000 2020,TX,"@jbolton_1 Keep working, Jayden!! 👍🏉😃Practice on Thanksgiving week is basically a @LSHSRangers tradition anyway!… https://t.co/usckdWdMnf",0.0
The Woodlands,Tue Nov 24 23:06:49 +0000 2020,TX,Thanksgiving night is going to be ruined. Isn’t it? #herewego,0.0
Philadelphia,Tue Nov 24 23:06:53 +0000 2020,PA,2 days before Thanksgiving are you shocked?,-0.7
Jefferson,Tue Nov 24 23:06:54 +0000 2020,VA,Getting Ready for Thanksgiving!! @ The Celebrity Delly https://t.co/TsynPPVLOp,0.3125
Pleasantville,Tue Nov 24 23:07:13 +0000 2020,NJ,Thanksgiving Eve tomorrow . Come to Joe Canalsand stock up on some wine,0.0
Oak Ridge,Tue Nov 24 23:07:22 +0000 2020,TN,HAPPY THANKSGIVING! Lin Wood Announces Sidney Powell Will File Major Lawsuit in Georgia Tomorrow! via @gatewaypundit https://t.co/NpCI3ElTay,0.5390625
Houston,Tue Nov 24 23:07:55 +0000 2020,TX,Thanksgiving don’t really feel like thanksgiving. Or am I tripping,0.2
Houston,Tue Nov 24 23:07:55 +0000 2020,TX,Thanksgiving don’t really feel like thanksgiving. Or am I tripping,0.2
Gainesville,Tue Nov 24 23:07:56 +0000 2020,GA,"🤣😂🤣😂🤣😂....Happy Thanksgiving to you and @NHDawwg777,  Shay!",0.0
San Jose,Tue Nov 24 23:07:58 +0000 2020,CA,"When I’m sick, my travel photos make me feel better. ❤️ Miss you, @YosemiteNPS! #yosemite #photography #landscape https://t.co/8ve10qh9Z4",-0.04464285714285715
North Tonawanda,Tue Nov 24 23:08:07 +0000 2020,NY,Check this out if you’re in need of food this Thanksgiving.,0.0
Baltimore,Tue Nov 24 23:08:41 +0000 2020,MD,We’re at the Hilton Rec Thanksgiving Meal Giveaway with our @LEVEL82org partners @TorreySmithWR and Chanel Smith!… https://t.co/42n9ohVG0h,0.0
